seq_len,acc,recall,precision,f1
9.0,1.0,1.0,1.0,1.0
3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
4.0,0.75,0.75,0.75,0.75
15.0,1.0,1.0,1.0,1.0
11.0,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
6.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
1.0,1.0,1.0,1.0,1.0
19.0,1.0,1.0,1.0,1.0
2.0,0.0,0.0,0.0,0.0
9.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778
3.0,1.0,1.0,1.0,1.0
5.0,0.8,0.8,0.8,0.8000000000000002
8.0,0.875,0.875,0.875,0.875
8.0,0.625,0.625,0.625,0.625
1.0,0.0,0.0,0.0,0.0
6.0,0.5,0.5,0.5,0.5
14.0,1.0,1.0,1.0,1.0
14.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
1.0,0.0,0.0,0.0,0.0
4.0,0.5,0.5,0.5,0.5
3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
3.0,1.0,1.0,1.0,1.0
